MIC	Group
16	Biofilm-5MIC
16	Biofilm-5MIC
16	Biofilm-5MIC
16	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
20	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
24	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
48	Biofilm-5MIC
64	Biofilm-5MIC
64	Biofilm-5MIC
64	Biofilm-5MIC
64	Biofilm-5MIC
64	Biofilm-5MIC
64	Biofilm-5MIC
64	Biofilm-5MIC
