SelectionPlate	MIC	Condition
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	20	Biofilm-5MIC
1MIC	20	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	20	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	20	Biofilm-5MIC
1MIC	20	Biofilm-5MIC
1MIC	20	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	48	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
1MIC	24	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	48	Biofilm-5MIC
2MIC	48	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	48	Biofilm-5MIC
2MIC	48	Biofilm-5MIC
2MIC	128	Biofilm-5MIC
2MIC	128	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	128	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	128	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	128	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
2MIC	64	Biofilm-5MIC
4MIC	48	Biofilm-5MIC
4MIC	128	Biofilm-5MIC
4MIC	128	Biofilm-5MIC
4MIC	128	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	48	Biofilm-5MIC
No antibio	48	Biofilm-5MIC
No antibio	48	Biofilm-5MIC
No antibio	20	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	16	Biofilm-5MIC
No antibio	20	Biofilm-5MIC
No antibio	16	Biofilm-5MIC
No antibio	16	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
No antibio	48	Biofilm-5MIC
No antibio	20	Biofilm-5MIC
No antibio	16	Biofilm-5MIC
No antibio	48	Biofilm-5MIC
No antibio	24	Biofilm-5MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	64	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	20	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	128	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	48	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
1MIC	24	Biofilm-80MIC
2MIC	64	Biofilm-80MIC
2MIC	64	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
2MIC	64	Biofilm-80MIC
2MIC	64	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
2MIC	64	Biofilm-80MIC
2MIC	64	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
2MIC	128	Biofilm-80MIC
4MIC	48	Biofilm-80MIC
4MIC	64	Biofilm-80MIC
4MIC	128	Biofilm-80MIC
4MIC	64	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	20	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	48	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	20	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	24	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	20	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	16	Biofilm-80MIC
No antibio	20	Biofilm-80MIC
No antibio	20	Biofilm-80MIC
1MIC	32	Planktonic-5MIC
1MIC	32	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	32	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	32	Planktonic-5MIC
1MIC	24	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
1MIC	20	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	48	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	32	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	64	Planktonic-5MIC
2MIC	32	Planktonic-5MIC
No antibio	24	Planktonic-5MIC
No antibio	24	Planktonic-5MIC
No antibio	24	Planktonic-5MIC
No antibio	16	Planktonic-5MIC
No antibio	24	Planktonic-5MIC
No antibio	16	Planktonic-5MIC
No antibio	16	Planktonic-5MIC
No antibio	16	Planktonic-5MIC
No antibio	16	Planktonic-5MIC
No antibio	16	Planktonic-5MIC
1MIC	24	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	20	Planktonic-80MIC
1MIC	20	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	20	Planktonic-80MIC
1MIC	20	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	20	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	20	Planktonic-80MIC
1MIC	24	Planktonic-80MIC
1MIC	20	Planktonic-80MIC

