Mutation	1	2	3	4	5	6	7	8	9
arcA	0	0	0	0	0	0	0	0	0
chbB	0	0	0	0	0	0	0	0	0
cpdA	0	0	0	0	0	0	0	0	0
creB	0	0	0	0	19	0	0	0	0
cyaA	0	0	0	0	0	0	0	0	0
dmsA/dmsB inter	0	0	0	0	0	0	21	0	0
fadE	0	0	0	0	0	0	0	0	0
fimC/fimD inter	0	0	0	0	0	0	0	0	0
fimH	63	0	100	83	63	75	17	44	25
ftsI	0	0	0	0	6	0	0	0	0
fusA	0	35	0	0	0	0	0	0	0
gcvH	0	0	0	0	0	0	0	18	0
gltI/LF82_RS03075 inter	0	0	0	0	0	0	0	0	0
gntK	0	0	0	0	0	0	0	11	0
gspG	0	0	0	0	0	0	0	0	5
hslV	0	0	0	6	0	0	0	0	0
lepA	0	0	0	0	7	0	0	0	0
LF82_RS12030/alaA inter	0	0	0	0	0	0	0	0	0
malZ	0	0	0	0	0	8	0	0	0
mdoB	0	0	0	0	0	0	0	0	0
mpaA	0	0	0	0	0	0	0	0	0
nusA	0	0	0	0	0	0	0	0	0
purF	0	0	0	0	0	0	0	0	0
rpoC	0	0	0	0	0	0	0	0	0
sapB	0	0	14	0	0	0	0	0	0
sbmA	94	47	83	61	92	100	0	0	0
sucA	0	0	0	0	0	0	0	0	0
tatC	0	0	0	0	0	0	0	0	0
topA	23	0	0	0	0	0	0	0	0
yhdP	0	0	0	0	0	0	0	0	7
