Mutation	1	2	3	4	5	6	7	8	9
arcA	0	0	0	0	0	0	0	9	50
chbB	0	6	0	0	0	0	0	0	0
cpdA	0	0	0	0	0	0	0	45	0
creB	0	0	0	0	0	0	0	0	0
cyaA	0	0	0	0	0	0	19	0	0
dmsA/dmsB inter	0	0	0	0	0	0	0	0	0
fadE	0	0	100	0	0	0	0	0	0
fimC/fimD inter	0	0	0	0	0	0	86	55	42
fimH	0	0	0	0	0	0	9	32	0
ftsI	0	0	0	0	0	0	0	0	0
fusA	0	0	0	0	0	0	0	0	0
gcvH	0	0	0	0	0	0	0	0	0
gltI/LF82_RS03075 inter	0	0	0	0	0	0	0	32	0
gntK	0	0	0	0	0	0	0	0	0
gspG	0	0	0	0	0	0	0	0	0
hslV	0	0	0	0	0	0	0	0	0
lepA	0	0	0	0	0	0	0	0	0
LF82_RS12030/alaA inter	0	82	0	0	0	0	0	0	43
malZ	0	0	0	0	0	0	0	0	0
mdoB	0	8	0	0	0	0	0	0	0
mpaA	0	0	7	0	0	0	0	0	0
nusA	0	0	0	0	0	0	0	0	47
purF	0	0	10	0	0	0	0	0	0
rpoC	0	0	0	0	0	0	66	0	0
sapB	0	0	0	0	0	0	0	0	0
sbmA	48	16	0	0	0	0	0	0	0
sucA	0	86	0	0	0	0	0	0	0
tatC	0	0	0	0	0	0	0	36	0
topA	0	0	0	0	0	0	0	0	0
yhdP	0	0	0	0	0	0	0	0	0
